
============================================================
STAGE 1 TCN FORECASTER | 2026-05-29 15:07:14
Window: 10 | Epoch: 100 | Batch: 3
============================================================
Epoch   93/100 | MSE: 0.0217105 | LR: 1.00e-03
Epoch   94/100 | MSE: 0.0186064 | LR: 1.00e-03
Epoch   95/100 | MSE: 0.0181523 | LR: 1.00e-03
Epoch   96/100 | MSE: 0.0178949 | LR: 1.00e-03
Epoch   97/100 | MSE: 0.0232255 | LR: 1.00e-03
Epoch   98/100 | MSE: 0.0208591 | LR: 1.00e-03
Epoch   99/100 | MSE: 0.0244923 | LR: 1.00e-03
Epoch  100/100 | MSE: 0.0268813 | LR: 1.00e-03
   → Checkpoint: C:\Users\User\Documents\GitHub\siv-prediction\1.1 TCN\Data baru_ts27\Setup 100 epoch\checkpoints_stage1\checkpoint_epoch_100.pth
=== STAGE 1 SELESAI ===

model_stage1_forecaster.pth disimpan
