
============================================================
STAGE 1 TCN FORECASTER | 2026-05-25 16:32:52
Window: 9 | Epoch: 100 | Batch: 3
============================================================
Epoch   92/100 | MSE: 0.0244241 | LR: 1.00e-03
Epoch   93/100 | MSE: 0.0218305 | LR: 1.00e-03
Epoch   94/100 | MSE: 0.0214533 | LR: 1.00e-03
Epoch   95/100 | MSE: 0.0185348 | LR: 1.00e-03
Epoch   96/100 | MSE: 0.0272509 | LR: 1.00e-03
Epoch   97/100 | MSE: 0.0221303 | LR: 1.00e-03
Epoch   98/100 | MSE: 0.0236078 | LR: 1.00e-03
Epoch   99/100 | MSE: 0.0259890 | LR: 1.00e-03
Epoch  100/100 | MSE: 0.0273174 | LR: 1.00e-03
   → Checkpoint: C:\Users\User\Documents\GitHub\siv-prediction\1.1 TCN\Data baru_algo_2 pipeline_4 gambar_newlabel_ts14\Setup 100 epoch\checkpoints_stage1\checkpoint_epoch_100.pth
=== STAGE 1 SELESAI ===

model_stage1_forecaster.pth disimpan
